Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.09   6671.52     6.08                             UpdateField() (main_v2.3.2.cpp:2521 @ 40a244)
  0.08   6677.49     5.96                             min(int, int) (main_v2.3.2.cpp:341 @ 40e14e)
  0.08   6683.43     5.94                             Tree::Fluxh(int) (main_v2.3.2.cpp:1082 @ 402da0)
  0.08   6689.23     5.80                             Tree::Growth() (main_v2.3.2.cpp:1185 @ 40357e)
  0.08   6694.80     5.58                             Tree::Fluxh(int) (main_v2.3.2.cpp:1088 @ 402e2c)
  0.08   6700.38     5.58                             UpdateTree() (main_v2.3.2.cpp:2704 @ 40ace5)
  0.08   6705.87     5.49                             genrand2i() (main_v2.3.2.cpp:3311 @ 40dd62)
  0.08   6711.30     5.43                             UpdateField() (main_v2.3.2.cpp:2524 @ 40a20a)
  0.08   6716.64     5.34                             genrand2i() (main_v2.3.2.cpp:3313 @ 40dd84)
  0.07   6721.91     5.27                             genrand2() (main_v2.3.2.cpp:3268 @ 40db33)
  0.07   6726.99     5.09                             Tree::Fluxh(int) (main_v2.3.2.cpp:1090 @ 403028)
  0.07   6732.00     5.01                             Tree::Update() (main_v2.3.2.cpp:1382 @ 404383)
  0.07   6736.98     4.98                             Tree::CalcLAI() (main_v2.3.2.cpp:1031 @ 40297f)
  0.07   6741.95     4.96                             Tree::Average() (main_v2.3.2.cpp:1502 @ 405011)
  0.07   6746.91     4.96                             Species::GPPleaf(float, float, float) (main_v2.3.2.cpp:776 @ 40e768)
  0.07   6751.84     4.94                             Tree::Average() (main_v2.3.2.cpp:1511 @ 405214)
  0.07   6756.74     4.90                             Tree::CalcLAI() (main_v2.3.2.cpp:1040 @ 402a28)
  0.07   6761.51     4.77                             genrand2i() (main_v2.3.2.cpp:3297 @ 40dc22)
  0.07   6766.25     4.74 504078704     0.01     0.01  genrand2i() (main_v2.3.2.cpp:3284 @ 40dbb3)
  0.07   6770.93     4.69                             Tree::Fluxh(int) (main_v2.3.2.cpp:1081 @ 402d85)
  0.06   6775.20     4.27                             genrand2() (main_v2.3.2.cpp:3252 @ 40da06)
  0.06   6779.39     4.19                             Tree::UpdateLeafDynamics() (main_v2.3.2.cpp:1234 @ 403783)
  0.06   6783.28     3.89                             genrand2i() (main_v2.3.2.cpp:3309 @ 40dd39)
  0.05   6787.07     3.79                             genrand2() (main_v2.3.2.cpp:3264 @ 40daed)
  0.05   6790.80     3.73 4724642744     0.00     0.00  max(int, int) (main_v2.3.2.cpp:342 @ 40e150)
  0.05   6794.45     3.65                             genrand2() (main_v2.3.2.cpp:3263 @ 40dadc)
  0.05   6798.02     3.57                             Tree::Average() (main_v2.3.2.cpp:1515 @ 4053d3)
  0.05   6801.57     3.55                             Tree::FallTree() (main_v2.3.2.cpp:1412 @ 4046b8)
  0.05   6805.10     3.53                             genrand2i() (main_v2.3.2.cpp:3310 @ 40dd56)
  0.05   6808.62     3.52                             UpdateTree() (main_v2.3.2.cpp:2682 @ 40ac10)
  0.05   6812.14     3.52                             genrand2i() (main_v2.3.2.cpp:3300 @ 40dc6c)
  0.05   6815.47     3.33                             genrand2() (main_v2.3.2.cpp:3262 @ 40dacb)
  0.04   6818.60     3.13                             Tree::Fluxh(int) (main_v2.3.2.cpp:1109 @ 4030d2)
  0.04   6821.70     3.10                             Tree::UpdateLeafDynamics() (main_v2.3.2.cpp:1255 @ 403996)
  0.04   6824.74     3.04                             genrand2i() (main_v2.3.2.cpp:3315 @ 40dd90)
  0.04   6827.74     3.00                             Average() (main_v2.3.2.cpp:2808 @ 40b31d)
  0.04   6830.74     3.00                             Species::dailyGPPleaf(float, float, float, float, float) (main_v2.3.2.cpp:816 @ 40ea46)
  0.04   6833.59     2.86                             Tree::CalcLAI() (main_v2.3.2.cpp:1043 @ 402a6d)
  0.04   6836.41     2.82                             Tree::CalcLAI() (main_v2.3.2.cpp:1036 @ 402c89)
  0.04   6839.21     2.81                             Tree::Fluxh(int) (main_v2.3.2.cpp:1097 @ 402ec9)
  0.04   6842.01     2.80                             Tree::Fluxh(int) (main_v2.3.2.cpp:1108 @ 403093)
  0.04   6844.80     2.79                             UpdateTree() (main_v2.3.2.cpp:2699 @ 40acc5)
  0.04   6847.60     2.79                             Tree::UpdateLeafDynamics() (main_v2.3.2.cpp:1254 @ 403912)
  0.04   6850.37     2.77                             max(int, int) (main_v2.3.2.cpp:343 @ 40e163)
  0.04   6853.12     2.75                             Tree::UpdateTreeBiometry() (main_v2.3.2.cpp:1271 @ 403a95)
  0.04   6855.81     2.69                             Tree::UpdateTreeBiometry() (main_v2.3.2.cpp:1264 @ 4039ce)
  0.04   6858.44     2.64                             Species::DeathRate(float, float, int) (main_v2.3.2.cpp:729 @ 40e3d9)
  0.04   6861.06     2.62                             Tree::UpdateTreeBiometry() (main_v2.3.2.cpp:1282 @ 403b7e)
  0.04   6863.57     2.51                             genrand2() (main_v2.3.2.cpp:3260 @ 40daa2)
  0.04   6866.06     2.49                             Tree::CalcLAI() (main_v2.3.2.cpp:1030 @ 40296f)
  0.04   6868.52     2.47                             Tree::Average() (main_v2.3.2.cpp:1508 @ 405116)
  0.03   6870.97     2.45                             Tree::Growth() (main_v2.3.2.cpp:1170 @ 4033d4)
  0.03   6873.39     2.42                             UpdateTreefall() (main_v2.3.2.cpp:2746 @ 40aee2)
  0.03   6875.78     2.39                             UpdateTreefall() (main_v2.3.2.cpp:2766 @ 40b00e)
  0.03   6878.15     2.37                             Tree::CalcLAI() (main_v2.3.2.cpp:1041 @ 402a49)
  0.03   6880.50     2.35                             Tree::Fluxh(int) (main_v2.3.2.cpp:1090 @ 402e52)
  0.03   6882.81     2.31                             Tree::Average() (main_v2.3.2.cpp:1509 @ 40516e)
  0.03   6885.09     2.28                             Tree::CalcLAI() (main_v2.3.2.cpp:1058 @ 402cb5)
  0.03   6887.34     2.25                             genrand2() (main_v2.3.2.cpp:3248 @ 40d98b)
  0.03   6889.55     2.21                             Tree::Birth(Species*, int, int) (main_v2.3.2.cpp:943 @ 40236f)
  0.03   6891.74     2.20                             Tree::Fluxh(int) (main_v2.3.2.cpp:1077 @ 402d18)
  0.03   6893.92     2.18                             minf(float, float) (main_v2.3.2.cpp:336 @ 40e11e)
  0.03   6896.03     2.11                             Tree::CalcLAI() (main_v2.3.2.cpp:1049 @ 402c4e)
  0.03   6898.12     2.10                             Tree::Growth() (main_v2.3.2.cpp:1188 @ 4035e3)
  0.03   6900.22     2.10                             Tree::CalcLAI() (main_v2.3.2.cpp:1037 @ 4029f0)
  0.03   6902.30     2.09                             Tree::Growth() (main_v2.3.2.cpp:1161 @ 403381)
  0.03   6904.34     2.04 1500709556     0.00     0.00  Tree::Fluxh(int) (main_v2.3.2.cpp:1069 @ 402cbc)
  0.03   6906.36     2.02                             Tree::Average() (main_v2.3.2.cpp:1503 @ 405026)
  0.03   6908.34     1.98                             genrand2i() (main_v2.3.2.cpp:3296 @ 40dbf1)
  0.03   6910.30     1.96                             Tree::Growth() (main_v2.3.2.cpp:1172 @ 403427)
  0.03   6912.23     1.93                             UpdateField() (main_v2.3.2.cpp:2440 @ 409e89)
  0.03   6914.14     1.91                             UpdateTree() (main_v2.3.2.cpp:2673 @ 40ab05)
  0.03   6916.04     1.90                             Tree::CalcLAI() (main_v2.3.2.cpp:1039 @ 402a1b)
  0.03   6917.92     1.89                             Tree::UpdateLeafDynamics() (main_v2.3.2.cpp:1248 @ 4038bd)
  0.03   6919.75     1.83                             genrand2i() (main_v2.3.2.cpp:3306 @ 40dd2f)
  0.03   6921.52     1.78                             Tree::Death() (main_v2.3.2.cpp:1311 @ 403d4b)
  0.02   6923.24     1.72                             UpdateTree() (main_v2.3.2.cpp:2725 @ 40ae50)
  0.02   6924.94     1.70                             genrand2() (main_v2.3.2.cpp:3261 @ 40dabf)
  0.02   6926.63     1.70                             Tree::Update() (main_v2.3.2.cpp:1398 @ 404693)
  0.02   6928.32     1.69                             Tree::Fluxh(int) (main_v2.3.2.cpp:1084 @ 402dfa)
  0.02   6929.97     1.65                             Tree::Growth() (main_v2.3.2.cpp:1181 @ 4034b4)
  0.02   6931.59     1.62                             UpdateTreefall() (main_v2.3.2.cpp:2754 @ 40af9d)
