Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00   4999.71     0.01  1439982     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const (stl_vector.h:1336 @ 4105da)
  0.00   4999.72     0.01   160000     0.00     0.00  Tree::~Tree() (troll.cpp:1057 @ 40f77a)
  0.00   4999.73     0.01                             UpdateField() (troll.cpp:2695 @ 40a395)
  0.00   4999.74     0.01                             UpdateField() (troll.cpp:2696 @ 40a3a3)
  0.00   4999.75     0.01                             UpdateTreefall() (troll.cpp:2981 @ 40b2ea)
  0.00   4999.76     0.01                             Average() (troll.cpp:3029 @ 40b4d6)
  0.00   4999.77     0.01                             Average() (troll.cpp:3059 @ 40b89c)
  0.00   4999.78     0.01                             Average() (troll.cpp:3076 @ 40bb29)
  0.00   4999.79     0.01                             Average() (troll.cpp:3077 @ 40bb55)
  0.00   4999.80     0.01                             Average() (troll.cpp:3113 @ 40bff9)
  0.00   4999.81     0.01                             AllocMem() (troll.cpp:2551 @ 409fc5)
  0.00   4999.82     0.01                             genrand2() (troll.cpp:3479 @ 40daa3)
  0.00   4999.83     0.01                             Tree::DisperseSeed() (troll.cpp:1549 @ 404252)
  0.00   4999.84     0.01                             Tree::Birth(Species*, int, int) (troll.cpp:1108 @ 4025c1)
  0.00   4999.85     0.01                             Tree::Birth(Species*, int, int) (troll.cpp:1109 @ 4025ce)
  0.00   4999.86     0.01                             Tree::Birth(Species*, int, int) (troll.cpp:1110 @ 4025db)
  0.00   4999.87     0.01                             Tree::Birth(Species*, int, int) (troll.cpp:1116 @ 40269d)
  0.00   4999.88     0.01                             Tree::Birth(Species*, int, int) (troll.cpp:1117 @ 4026aa)
  0.00   4999.89     0.01                             Tree::Birth(Species*, int, int) (troll.cpp:1122 @ 402722)
  0.00   4999.90     0.01                             Tree::Birth(Species*, int, int) (troll.cpp:1128 @ 4027d9)
  0.00   4999.91     0.01                             Tree::Birth(Species*, int, int) (troll.cpp:1131 @ 4027e8)
  0.00   4999.92     0.01                             Tree::Death() (troll.cpp:1520 @ 4040e3)
  0.00   4999.93     0.01                             Tree::Death() (troll.cpp:1526 @ 404149)
  0.00   4999.94     0.01                             Tree::Death() (troll.cpp:1527 @ 404158)
  0.00   4999.95     0.01                             Tree::Growth() (troll.cpp:1386 @ 403816)
  0.00   4999.96     0.01                             Tree::Update() (troll.cpp:1584 @ 4044be)
  0.00   4999.97     0.01                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:984 @ 40f573)
  0.00   4999.98     0.01                             Species::FillSeed(int, int) (troll.cpp:620 @ 402310)
  0.00   5000.00     0.01                             std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const (stl_vector.h:118 @ 410b81)
  0.00   5000.01     0.01                             std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const (stl_vector.h:1342 @ 41066b)
  0.00   5000.02     0.01                             int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*) (stl_algobase.h:371 @ 410aa9)
  0.00   5000.03     0.01                             int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*) (stl_algobase.h:373 @ 410acf)
  0.00   5000.04     0.01                             std::vector<int, std::allocator<int> >::_M_insert_aux(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) (vector.tcc:372 @ 410084)
  0.00   5000.05     0.01                             std::vector<int, std::allocator<int> >::_M_insert_aux(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) (vector.tcc:369 @ 4100aa)
  0.00   5000.06     0.01                             std::vector<int, std::allocator<int> >::_M_insert_aux(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) (vector.tcc:389 @ 41011e)
  0.00   5000.07     0.01                             std::vector<int, std::allocator<int> >::_M_insert_aux(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) (vector.tcc:391 @ 410135)
  0.00   5000.08     0.01                             std::vector<int, std::allocator<int> >::erase(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) (vector.tcc:149 @ 40f9d2)
  0.00   5000.09     0.01                             int* std::copy_backward<int*, int*>(int*, int*, int*) (stl_algobase.h:632 @ 4105d3)
  0.00   5000.10     0.01                             unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&) (stl_algobase.h:221 @ 410930)
  0.00   5000.11     0.01                             __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__find<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&, std::random_access_iterator_tag) (stl_algo.h:162 @ 410309)
  0.00   5000.12     0.01                             __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__find<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&, std::random_access_iterator_tag) (stl_algo.h:164 @ 4103f1)
  0.00   5000.13     0.01                             __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::remove<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) (stl_algo.h:1102 @ 40f90b)
  0.00   5000.14     0.01                             __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::remove<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) (stl_algo.h:1112 @ 40f9ac)
  0.00   5000.14     0.01  5759928     0.00     0.00  std::_Miter_base<int*>::iterator_type std::__miter_base<int*>(int*) (stl_algobase.h:288 @ 410877)
  0.00   5000.15     0.01                             Initialise() (troll.cpp:2070 @ 407409)
  0.00   5000.15     0.01                             OutputSnapshot(std::basic_fstream<char, std::char_traits<char> >&) (troll.cpp:3254 @ 40cea9)
  0.00   5000.16     0.01                             genrand2() (troll.cpp:3491 @ 40dbd7)
  0.00   5000.16     0.01                             Tree::Birth(Species*, int, int) (troll.cpp:1111 @ 4025e8)
  0.00   5000.17     0.01                             Tree::Death() (troll.cpp:1515 @ 40409f)
  0.00   5000.17     0.01                             Tree::FallTree() (troll.cpp:1646 @ 404c2f)
  0.00   5000.18     0.01                             Tree::FallTree() (troll.cpp:1639 @ 404c68)
  0.00   5000.18     0.01                             Tree::FallTree() (troll.cpp:1656 @ 404de8)
  0.00   5000.19     0.01                             Tree::FallTree() (troll.cpp:1654 @ 404e00)
  0.00   5000.19     0.01                             std::_Iter_base<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, true>::_S_base(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) (stl_iterator_base_types.h:221 @ 410a69)
  0.00   5000.20     0.01                             std::vector<int, std::allocator<int> >::_M_insert_aux(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) (vector.tcc:360 @ 41003f)
  0.00   5000.20     0.01                             std::vector<int, std::allocator<int> >::_M_insert_aux(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) (vector.tcc:365 @ 410047)
  0.00   5000.21     0.01                             int* std::__copy_move_a<false, int*, int*>(int*, int*, int*) (stl_algobase.h:391 @ 410875)
  0.00   5000.21     0.01                             int* std::copy<int*, int*>(int*, int*, int*) (stl_algobase.h:461 @ 410cde)
  0.00   5000.22     0.01                             __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::find<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) (stl_algo.h:4442 @ 40fd03)
  0.00   5000.22     0.00  4319946     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const (new_allocator.h:113 @ 410b88)
  0.00   5000.22     0.00  2879964     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int> >::max_size(std::allocator<int> const&) (alloc_traits.h:221 @ 410b50)
  0.00   5000.22     0.00  2879964     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const (stl_vector.h:117 @ 410b70)
  0.00   5000.22     0.00  2879964     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const (stl_vector.h:650 @ 4108f4)
  0.00   5000.22     0.00  2879964     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<int*, int*>(int*, int*, int*) (stl_uninitialized.h:91 @ 410c68)
  0.00   5000.22     0.00  2879964     0.00     0.00  int* std::__copy_move_a<false, int*, int*>(int*, int*, int*) (stl_algobase.h:379 @ 410841)
  0.00   5000.22     0.00  2879964     0.00     0.00  int* std::uninitialized_copy<int*, int*>(int*, int*, int*) (stl_uninitialized.h:107 @ 410ba5)
  0.00   5000.22     0.00  2879964     0.00     0.00  int* std::__uninitialized_move_if_noexcept_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&) (stl_uninitialized.h:274 @ 4106e5)
  0.00   5000.22     0.00  2879964     0.00     0.00  int* std::copy<int*, int*>(int*, int*, int*) (stl_algobase.h:450 @ 410c9a)
  0.00   5000.22     0.00  1439982     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*) (new_allocator.h:99 @ 410950)
  0.00   5000.22     0.00  1439982     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long) (stl_vector.h:167 @ 4106a8)
  0.00   5000.22     0.00  1439982     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long) (stl_vector.h:171 @ 410746)
  0.00   5000.22     0.00  1439982     0.00     0.00  std::vector<int, std::allocator<int> >::_M_insert_aux(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) (vector.tcc:318 @ 40fef8)
  0.00   5000.22     0.00  1439982     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&) (stl_algobase.h:216 @ 41091b)
  0.00   5000.22     0.00  1279982     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long) (new_allocator.h:109 @ 4109e6)
  0.00   5000.22     0.00   978000     0.00     0.00  Species::UpdateSeed() (troll.cpp:700 @ 40241e)
  0.00   5000.22     0.00   640000     0.00     0.00  Tree::histdbh() (troll.cpp:1734 @ 405800)
  0.00   5000.22     0.00   160000     0.00     0.00  Tree::Tree() (troll.cpp:1040 @ 40f652)
  0.00   5000.22     0.00   160000     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator() (new_allocator.h:79 @ 410bd8)
  0.00   5000.22     0.00   160000     0.00     0.00  std::allocator<int>::allocator() (allocator.h:113 @ 410a0e)
  0.00   5000.22     0.00   160000     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl() (stl_vector.h:86 @ 410780)
  0.00   5000.22     0.00   160000     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base() (stl_vector.h:124 @ 410202)
  0.00   5000.22     0.00   160000     0.00     0.00  std::vector<int, std::allocator<int> >::vector() (stl_vector.h:248 @ 40fb4e)
  0.00   5000.22     0.00     6000     0.00     0.00  UpdateTree() (troll.cpp:2844 @ 40abee)
  0.00   5000.22     0.00     6000     0.00     0.00  OutputField() (troll.cpp:3205 @ 40c8b7)
  0.00   5000.22     0.00     6000     0.00     0.00  UpdateField() (troll.cpp:2639 @ 40a158)
  0.00   5000.22     0.00     6000     0.00     0.00  UpdateTreefall() (troll.cpp:2978 @ 40b278)
  0.00   5000.22     0.00     6000     0.00     0.00  Average() (troll.cpp:3022 @ 40b413)
  0.00   5000.22     0.00     6000     0.00     0.00  Evolution() (troll.cpp:2624 @ 40a129)
  0.00   5000.22     0.00      815     0.00     0.00  std::log10(float) (cmath:377 @ 40e168)
  0.00   5000.22     0.00      326     0.00     0.00  __gnu_cxx::__promote_2<double, float, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type, __gnu_cxx::__promote<float, std::__is_integer<float>::__value>::__type>::__type std::pow<double, float>(double, float) (cmath:434 @ 40f835)
  0.00   5000.22     0.00      164     0.00     0.00  Species::Species() (troll.cpp:435 @ 40e326)
  0.00   5000.22     0.00      164     0.00     0.00  Species::~Species() (troll.cpp:443 @ 40e35e)
  0.00   5000.22     0.00      163     0.00     0.00  Species::Init(int, std::basic_fstream<char, std::char_traits<char> >&) (troll.cpp:473 @ 40191e)
  0.00   5000.22     0.00      163     0.00     0.00  __gnu_cxx::__promote_2<int, double, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type>::__type std::pow<int, double>(int, double) (cmath:434 @ 40f7f5)
  0.00   5000.22     0.00        1     0.00     0.00  Initialise() (troll.cpp:1939 @ 40670e)
  0.00   5000.22     0.00        1     0.00     0.00  OutputSnapshot(std::basic_fstream<char, std::char_traits<char> >&) (troll.cpp:3252 @ 40cb76)
  0.00   5000.22     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int) (troll.cpp:3552 @ 40df3a)
  0.00   5000.22     0.00        1     0.00     0.00  FreeMem() (troll.cpp:3398 @ 40d7ee)
  0.00   5000.22     0.00        1     0.00     0.00  AllocMem() (troll.cpp:2483 @ 409a36)
  0.00   5000.22     0.00        1     0.00     0.00  BirthInit() (troll.cpp:2606 @ 40a0f7)
  0.00   5000.22     0.00        1     0.00     0.00  sgenrand2(unsigned long) (troll.cpp:3458 @ 40da10)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2016 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.00% of 5000.22 seconds

index % time    self  children    called     name
                0.00    0.00     400/3156856902     Initialise() (troll.cpp:2274 @ 408a53) [439]
              119.35    0.00 1578428251/3156856902     Species::GPPleaf(float, float, float) (troll.cpp:889 @ 40e8b2) [4]
              119.35    0.00 1578428251/3156856902     Species::GPPleaf(float, float, float) (troll.cpp:895 @ 40e914) [5]
[9]      4.8  238.69    0.00 3156856902         std::sqrt(float) (cmath:483 @ 40e1d0) [9]
-----------------------------------------------
                0.00    0.00     163/5899500952     Species::Init(int, std::basic_fstream<char, std::char_traits<char> >&) (troll.cpp:534 @ 401d56) [580]
                0.00    0.00     163/5899500952     Species::Init(int, std::basic_fstream<char, std::char_traits<char> >&) (troll.cpp:536 @ 401e7f) [581]
                0.00    0.00     400/5899500952     Initialise() (troll.cpp:2276 @ 408ad6) [578]
                6.49    0.00 958299340/5899500952     Tree::Fluxh(int) (troll.cpp:1280 @ 403173) [41]
               10.69    0.00 1578428251/5899500952     Species::GPPleaf(float, float, float) (troll.cpp:897 @ 40e960) [1]
               22.77    0.00 3362772635/5899500952     Tree::Fluxh(int) (troll.cpp:1303 @ 403313) [7]
[23]     0.8   39.95    0.00 5899500952         minf(float, float) (troll.cpp:350 @ 40e27b) [23]
-----------------------------------------------
                0.00    0.00   60386/11780403896     Tree::FallTree() (troll.cpp:1654 @ 404e00) [550]
                0.32    0.00 122591583/11780403896     Tree::CalcLAI() (troll.cpp:1222 @ 402e55) [298]
                0.61    0.00 235868149/11780403896     Tree::CalcLAI() (troll.cpp:1223 @ 402e29) [231]
                4.21    0.00 1632991153/11780403896     Tree::CalcLAI() (troll.cpp:1239 @ 4030d2) [74]
                7.11    0.00 2755267596/11780403896     Tree::Fluxh(int) (troll.cpp:1296 @ 40341e) [36]
                7.67    0.00 2974517630/11780403896     Tree::Fluxh(int) (troll.cpp:1293 @ 40344a) [49]
               10.47    0.00 4059107399/11780403896     Tree::CalcLAI() (troll.cpp:1240 @ 4030a6) [44]
[32]     0.6   30.39    0.00 11780403896         min(int, int) (troll.cpp:354 @ 40e2af) [32]
-----------------------------------------------
                1.24    0.00 1481647208/35938166619     Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:957 @ 40f3e9) [93]
                1.24    0.00 1485334055/35938166619     Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:911 @ 40ea35) [58]
                1.25    0.00 1491141429/35938166619     Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:955 @ 40f37d) [84]
                1.25    0.00 1494759244/35938166619     Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:953 @ 40f311) [81]
                1.25    0.00 1495014012/35938166619     Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:913 @ 40eaa1) [80]
                1.25    0.00 1497269936/35938166619     Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:951 @ 40f2a5) [95]
                1.25    0.00 1497657814/35938166619     Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:915 @ 40eb0d) [101]
                1.25    0.00 1498440696/35938166619     Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:949 @ 40f239) [92]
                1.25    0.00 1498644615/35938166619     Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:917 @ 40eb79) [99]
                1.25    0.00 1498995350/35938166619     Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:947 @ 40f1cd) [96]
                1.25    0.00 1499426895/35938166619     Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:919 @ 40ebe5) [78]
                1.25    0.00 1499488679/35938166619     Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:945 @ 40f161) [83]
                1.25    0.00 1499758970/35938166619     Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:921 @ 40ec51) [100]
                1.25    0.00 1499806521/35938166619     Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:943 @ 40f0f5) [79]
                1.25    0.00 1499905531/35938166619     Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:923 @ 40ecbd) [105]
                1.25    0.00 1499961747/35938166619     Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:941 @ 40f089) [87]
                1.25    0.00 1500018101/35938166619     Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:925 @ 40ed29) [94]
                1.25    0.00 1500050751/35938166619     Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:939 @ 40f01d) [85]
                1.25    0.00 1500114368/35938166619     Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:927 @ 40ed95) [77]
                1.25    0.00 1500119860/35938166619     Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:937 @ 40efb1) [91]
                1.25    0.00 1500140644/35938166619     Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:929 @ 40ee01) [97]
                1.25    0.00 1500150471/35938166619     Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:933 @ 40eed9) [103]
                1.25    0.00 1500157516/35938166619     Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:931 @ 40ee6d) [89]
                1.25    0.00 1500162206/35938166619     Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:935 @ 40ef45) [86]
[33]     0.6   30.01    0.00 35938166619         Species::GPPleaf(float, float, float) (troll.cpp:851 @ 40e672) [33]
-----------------------------------------------
                0.00    0.00    6700/147524424     Tree::FallTree() (troll.cpp:1652 @ 404cb8) [572]
                0.03    0.00  156214/147524424     Tree::FallTree() (troll.cpp:1644 @ 404bfa) [455]
               25.00    0.00 147361510/147524424     Tree::DisperseSeed() (troll.cpp:1557 @ 404305) [37]
[39]     0.5   25.02    0.00 147524424         std::sin(float) (cmath:445 @ 40e19c) [39]
-----------------------------------------------
                4.66    0.00 3783529118/3783529118     __gnu_cxx::new_allocator<int>::construct(int*, int const&) (new_allocator.h:130 @ 41056f) [6]
[115]    0.1    4.66    0.00 3783529118         operator new(unsigned long, void*) (new:110 @ 40e06d) [115]
-----------------------------------------------
                0.10    0.00 90491843/3783529118     Species::FillSeed(int, int) (troll.cpp:626 @ 402361) [388]
                4.01    0.00 3693037275/3783529118     UpdateField() (troll.cpp:2785 @ 40a735) [57]
[121]    0.1    4.11    0.00 3783529118         std::vector<int, std::allocator<int> >::push_back(int const&) (stl_vector.h:901 @ 40fa8a) [121]
-----------------------------------------------
                0.00    0.00       1/2339055096     main (troll.cpp:1827 @ 4061db) [583]
                0.00    0.00       1/2339055096     main (troll.cpp:1828 @ 40624f) [584]
                0.00    0.00       1/2339055096     main (troll.cpp:1829 @ 40627d) [585]
                0.04    0.00 27111063/2339055096     Tree::Birth(Species*, int, int) (troll.cpp:1106 @ 402528) [313]
                0.04    0.00 27111063/2339055096     Tree::Birth(Species*, int, int) (troll.cpp:1126 @ 40274a) [335]
                0.47    0.00 294723020/2339055096     Tree::DisperseSeed() (troll.cpp:1554 @ 40426d) [179]
                1.04    0.00 654308100/2339055096     Tree::FallTree() (troll.cpp:1626 @ 404a90) [112]
                1.04    0.00 654505232/2339055096     Tree::Update() (troll.cpp:1596 @ 40475b) [110]
                1.08    0.00 681296615/2339055096     Tree::Update() (troll.cpp:1580 @ 404460) [43]
[129]    0.1    3.72    0.00 2339055096         genrand2() (troll.cpp:3471 @ 40da85) [129]
-----------------------------------------------
                3.65    0.00 504078704/504078704     UpdateField() (troll.cpp:2779 @ 40a6b9) [130]
[132]    0.1    3.65    0.00 504078704         genrand2i() (troll.cpp:3520 @ 40dd1c) [132]
-----------------------------------------------
                0.00    0.00     163/4730107229     AllocMem() (troll.cpp:2493 @ 409a5a) [582]
                0.00    0.00    6700/4730107229     Tree::FallTree() (troll.cpp:1654 @ 404d08) [577]
                0.04    0.00 47122654/4730107229     Tree::CalcLAI() (troll.cpp:1222 @ 402d2c) [405]
                0.06    0.00 75468929/4730107229     Tree::CalcLAI() (troll.cpp:1223 @ 402d4a) [404]
                0.42    0.00 542506961/4730107229     Tree::Fluxh(int) (troll.cpp:1293 @ 40327c) [156]
                0.47    0.00 607062898/4730107229     Tree::CalcLAI() (troll.cpp:1239 @ 402ec9) [204]
                0.79    0.00 1025928255/4730107229     Tree::CalcLAI() (troll.cpp:1240 @ 402ee7) [177]
                1.87    0.00 2432010669/4730107229     Tree::Fluxh(int) (troll.cpp:1294 @ 40329a) [117]
[133]    0.1    3.64    0.00 4730107229         max(int, int) (troll.cpp:358 @ 40e2d4) [133]
-----------------------------------------------
                3.19    0.00 3783529118/3783529118     void __gnu_cxx::__alloc_traits<std::allocator<int> >::construct<int>(std::allocator<int>&, int*, int const&) (alloc_traits.h:216 @ 40fede) [76]
[142]    0.1    3.19    0.00 3783529118         __gnu_cxx::new_allocator<int>::construct(int*, int const&) (new_allocator.h:129 @ 410556) [142]
-----------------------------------------------
                0.00    0.00 1439982/3783529118     std::vector<int, std::allocator<int> >::_M_insert_aux(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) (vector.tcc:353 @ 410030) [570]
                3.11    0.00 3782089136/3783529118     std::vector<int, std::allocator<int> >::push_back(int const&) (stl_vector.h:905 @ 40fac0) [51]
[145]    0.1    3.12    0.00 3783529118         void __gnu_cxx::__alloc_traits<std::allocator<int> >::construct<int>(std::allocator<int>&, int*, int const&) (alloc_traits.h:215 @ 40fec5) [145]
-----------------------------------------------
                0.00    0.00    6000/870355305     main (troll.cpp:1879 @ 406514) [575]
                0.00    0.00  157752/870355305     Tree::FallTree() (troll.cpp:1641 @ 404bb5) [569]
                0.00    0.00 2092499/870355305     Tree::UpdateTreeBiometry() (troll.cpp:1476 @ 403e05) [378]
                0.05    0.00 27111063/870355305     Tree::Birth(Species*, int, int) (troll.cpp:1106 @ 402528) [313]
                0.05    0.00 27111063/870355305     Tree::Birth(Species*, int, int) (troll.cpp:1126 @ 40274a) [335]
                0.29    0.00 147361510/870355305     Tree::DisperseSeed() (troll.cpp:1557 @ 404305) [37]
                0.29    0.00 147361510/870355305     Tree::DisperseSeed() (troll.cpp:1556 @ 40433d) [183]
                0.42    0.00 213506447/870355305     Tree::UpdateTreeBiometry() (troll.cpp:1482 @ 403e6d) [140]
                0.60    0.00 305647461/870355305     UpdateTree() (troll.cpp:2942 @ 40b093) [153]
[194]    0.0    1.72    0.00 870355305         flor(float) (troll.cpp:338 @ 40e213) [194]
-----------------------------------------------
                1.55    0.00 1500806301/1500806301     Tree::Growth() (troll.cpp:1367 @ 40369a) [171]
[200]    0.0    1.55    0.00 1500806301         Tree::Fluxh(int) (troll.cpp:1269 @ 403106) [200]
-----------------------------------------------
                1.46    0.00 1500806301/1500806301     Tree::Growth() (troll.cpp:1368 @ 4036ab) [63]
[205]    0.0    1.46    0.00 1500806301         Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:906 @ 40e9f0) [205]
-----------------------------------------------
                1.15    0.00 960000000/960000000     UpdateTree() (troll.cpp:2961 @ 40b20b) [161]
[223]    0.0    1.15    0.00 960000000         Tree::Update() (troll.cpp:1571 @ 4043a6) [223]
-----------------------------------------------
                0.00    0.00 1439982/655625534     std::vector<int, std::allocator<int> >::_M_insert_aux(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) (vector.tcc:384 @ 4100de) [566]
                1.05    0.00 654185552/655625534     std::vector<int, std::allocator<int> >::_M_erase_at_end(int*) (stl_vector.h:1352 @ 40fe31) [146]
[233]    0.0    1.05    0.00 655625534         void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&) (stl_construct.h:148 @ 4102af) [233]
-----------------------------------------------
                0.48    0.53 654185552/654185552     std::vector<int, std::allocator<int> >::clear() (stl_vector.h:1126 @ 40fc85) [127]
[236]    0.0    0.48    0.53 654185552         std::vector<int, std::allocator<int> >::_M_erase_at_end(int*) (stl_vector.h:1350 @ 40fe1c) [236]
                0.53    0.00 654185552/658505498     std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() (stl_vector.h:113 @ 410298) [293]
-----------------------------------------------
                0.00    0.00     400/305647861     Initialise() (troll.cpp:2273 @ 408a0b) [579]
                0.99    0.00 305647461/305647861     UpdateTree() (troll.cpp:2942 @ 40b093) [153]
[237]    0.0    0.99    0.00 305647861         std::exp(float) (cmath:242 @ 40e100) [237]
-----------------------------------------------
                0.92    0.00 654301400/654301400     UpdateTreefall() (troll.cpp:2990 @ 40b349) [175]
[248]    0.0    0.92    0.00 654301400         Tree::FallTree() (troll.cpp:1621 @ 404a78) [248]
-----------------------------------------------
                0.00    0.00    6700/147525962     Tree::FallTree() (troll.cpp:1649 @ 404c78) [574]
