Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.07   4722.34     3.47                             genrand2() (troll.cpp:3504 @ 40dc9c)
  0.07   4725.78     3.44                             genrand2() (troll.cpp:3497 @ 40dc28)
  0.07   4729.12     3.34                             UpdateField() (troll.cpp:2701 @ 40a493)
  0.07   4732.39     3.27                             Tree::CalcLAI() (troll.cpp:1239 @ 4030d2)
  0.06   4735.60     3.21                             Tree::UpdateLeafDynamics() (troll.cpp:1466 @ 403d6e)
  0.06   4738.79     3.19 3783529118     0.00     0.00  __gnu_cxx::new_allocator<int>::construct(int*, int const&) (new_allocator.h:129 @ 410556)
  0.06   4741.95     3.16                             Tree::Average() (troll.cpp:1722 @ 4054ee)
  0.06   4745.08     3.13                             genrand2i() (troll.cpp:3551 @ 40def9)
  0.06   4748.19     3.12 3783529118     0.00     0.00  void __gnu_cxx::__alloc_traits<std::allocator<int> >::construct<int>(std::allocator<int>&, int*, int const&) (alloc_traits.h:215 @ 40fec5)
  0.06   4751.23     3.04                             UpdateField() (troll.cpp:2784 @ 40a70b)
  0.06   4754.23     3.00                             Average() (troll.cpp:3044 @ 40b6ab)
  0.06   4757.23     3.00                             genrand2i() (troll.cpp:3536 @ 40ddd5)
  0.06   4760.21     2.98                             genrand2() (troll.cpp:3498 @ 40dc34)
  0.06   4763.06     2.85                             std::vector<int, std::allocator<int> >::clear() (stl_vector.h:1126 @ 40fc85)
  0.06   4765.88     2.82                             genrand2() (troll.cpp:3496 @ 40dc0b)
  0.06   4768.69     2.81                             Tree::CalcLAI() (troll.cpp:1229 @ 402dbf)
  0.06   4771.49     2.80                             Tree::UpdateTreeBiometry() (troll.cpp:1482 @ 403e6d)
  0.06   4774.25     2.76                             Tree::Fluxh(int) (troll.cpp:1294 @ 40329a)
  0.05   4776.98     2.73                             Tree::Fluxh(int) (troll.cpp:1296 @ 4032cf)
  0.05   4779.68     2.70                             UpdateTreefall() (troll.cpp:2982 @ 40b28e)
  0.05   4782.37     2.69                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:989 @ 40f648)
  0.05   4785.01     2.64                             Tree::CalcLAI() (troll.cpp:1248 @ 403097)
  0.05   4787.63     2.62                             Tree::Average() (troll.cpp:1723 @ 405546)
  0.05   4790.24     2.61                             max(int, int) (troll.cpp:359 @ 40e2e7)
  0.05   4792.69     2.46                             genrand2() (troll.cpp:3484 @ 40daf4)
  0.05   4795.14     2.45                             genrand2i() (troll.cpp:3532 @ 40dd5a)
  0.05   4797.57     2.44                             Tree::Average() (troll.cpp:1729 @ 4057ab)
  0.05   4800.00     2.43                             std::vector<int, std::allocator<int> >::push_back(int const&) (stl_vector.h:907 @ 40facf)
  0.05   4802.41     2.41                             UpdateField() (troll.cpp:2682 @ 40a2f6)
  0.05   4804.81     2.40                             Tree::Fluxh(int) (troll.cpp:1285 @ 403224)
  0.05   4807.20     2.39                             minf(float, float) (troll.cpp:352 @ 40e2a2)
  0.05   4809.57     2.37                             Tree::Average() (troll.cpp:1717 @ 4053fe)
  0.05   4811.91     2.34                             UpdateTreefall() (troll.cpp:3002 @ 40b3ba)
  0.05   4814.23     2.32                             Tree::Death() (troll.cpp:1525 @ 404123)
  0.05   4816.54     2.31                             std::vector<int, std::allocator<int> >::size() const (stl_vector.h:646 @ 40fc2b)
